X,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,32.8,-,-,-,-,16.2,7.4,,-,-,-,-
2,_,_,_,Trace,5.6,3.0,2.4,1.4,-,0.4,-,-
3,,-,-,-,6.8,8.2,-,12.0,10.0,-,-,-
4,_,_,_,_,_,Trace,20.2,,0.4,0.4,-,-
5,_,_,_,_,_,-,43.6,0.2,-,-,Trace,_
6,-,-,-,-,18.8,0.6,4.2,1.0,-,-,Trace,_
7,_,_,_,_,Trace,-,9.8,1.4,-,-,Trace,_
8,-,-,-,3.2,-,-,1.2,25.0,-,-,-,-
9,_,_,Trace,-,-,2.8,14.4,0.8,-,-,-,-
10,_,_,_,Trace,_,Trace,3.2,0.2,3.2,-,-,Trace
11,_,_,Trace,1.2,-,6.8,9.6,0.4,0.8,-,-,0.4
12,-,-,2.6,Trace,20.0,-,60.4,14.2,0.6,-,-,-
13,-,-,0.8,0.6,5.2,1.8,4.0,18.8,-,-,-,-
14,-,3.0,2.4,2.4,2.0,4.6,11.4,Trace,_,_,_,_
15,-,21.0,-,4.0,15.0,50.0,10.2,,Trace,-,-,2.6
16,-,-,-,1.0,3.6,0.8,16.0,Trace,_,.,_,_
17,-,Trace,_,0.4,0.1,12.8,30.4,,-,-,-,-
18,-,-,-,2.4,Trace,1.6,0.4,1.0,-,-,-,1.2
19,-,-,Trace,Trace,10.4,0.2,8.0,,_,_,_,_
20,_,Trace,1.8,0.8,1.6,-,8.6,0.4,-,-,-,-
21,-,-,5.4,-,8.4,19.0,9.2,1.2,-,-,-,-
22,9.0,-,10.8,-,4.8,7.6,25.2,Trace,-,_,_,
23,,-,-,-,-,13.0,1.4,14.4,-,-,-,-
24,-,3.0,-,-,-,1.2,6.8,10.6,-,-,-,-
25,-,8.0,-,-,0.2,10.8,0.4,Trace,_,Trace,_,_
26,-,Trace,-,Trace,1.4,14.2,4.4,-,-,-,-,-
27,-,-,-,6.2,0.2,12.8,1.4,,-,-,-,-
28,-,-,3.4,3.0,5.2,-,10.0,0.8,-,-,,-
29,-,,27.8,-,-,-,-,23.8,Trace,_,_,_
30,Trace,,7.4,-,5.0,15.0,-,8.4,Trace,_,_,_
31,_,,Trace,,-,,,0.2,,-,,-
